track_name,artist_name,genres,artist_id,track_id,popularity,album,release_date
Euphoria - Extended Mix - Mixed,Cherry (UA),"['melodic techno', 'melodic house', 'progressive house', 'indie dance']",6xuIqCB0qedzXRYmj7fsGq,1vMSKcmSK4iSxFKWNEgPhe,6,Visceral 110 (DJ Mix),2022-09-30
Ready For More,Korolova,"['melodic techno', 'melodic house', 'progressive house']",0I6oCyQQ1Q50q97y9B9gAx,0OQF6YgMW5gOe8k4wfvLRJ,48,Ready For More,2021-12-10
Annihilation - Radio Edit,RoelBeat,"['melodic techno', 'indie dance', 'melodic house', 'progressive house']",666dcGzCMhB4QfGw6BPmeq,4io4CQ89K9w8z623duQVAX,35,Annihilation,2021-04-09
Instant,Arude,"['melodic techno', 'melodic house', 'progressive house']",3jvLVdebZznGhPcOcOFKd9,3WJJk1goyW5chCYFe85H9s,36,Instant,2020-08-14
For You - Extended Mix,Austin Pettit,"['progressive house', 'melodic techno']",2hvTEkJIyi0TLuwpRX1awn,1JgOrERvvcWRW1gxUn2QJK,11,For You,2022-03-04
The Loved Are Never Lost,Trilucid,"['melodic house', 'progressive house', 'organic house', 'melodic techno']",2T6mOFQ2RGAypMuKtIg9ic,3WdzsAb3OzEBrQArVgrmSA,39,The Loved Are Never Lost,2022-07-15
Warp Speed - Radio Edit,Marksman,"['melodic house', 'melodic techno', 'progressive house']",59ggRM2BowvTe9nlnwGlBT,7EpvUIMMbp42BG3IPAz0Ea,21,Warp Speed,2021-12-10
Requiem,Bound to Divide,"['melodic house', 'progressive house', 'deep house']",5nQ7llwdZYT6MWMeLLe8dc,7FMdqH7LpnfdZK7vMwzOAQ,8,Coming Home / Requiem,2021-11-17
Rover,Two Are,"['melodic techno', 'progressive house', 'melodic house']",3B5IcLPD64jPRgHsSnvHUD,03VvQ3Pj4ji8gRCexcdpT4,24,Rover,2022-07-22
Hera,D-Formation,"['melodic techno', 'progressive house', 'melodic house']",5wt6ykFuNy0WtBpYVaG7OY,3K1Q6LjDlTCCtjTt3THO2o,33,Ares Hera,2021-08-05
Azurblau,GIGEE,"['melodic techno', 'melodic house', 'progressive house']",7mqebOCOql0RKtn1bGUdOd,5x6sZ6mz23tTf7lCCa7F7A,0,Berlin,2022-03-11
Delta,Moonwalk,"['melodic techno', 'melodic house', 'techno', 'minimal techno', 'progressive house']",1khyIydqanugacJyKdmceT,0yqNGfESkxfNgc11ouwykd,38,Solaris - EP,2021-02-19
Binary,Passenger 10,"['progressive house', 'melodic house', 'melodic techno']",1Rmh4YOuttbNyVthCkTokT,67AR810Gy2uPXTtQPuYW2Z,3,Binary,2022-12-16
Power of Universe,Moonwalk,"['melodic techno', 'melodic house', 'techno', 'minimal techno', 'progressive house']",1khyIydqanugacJyKdmceT,5U7LGWuifQ0agJ8kWoJ0ra,19,Power of Universe,2022-11-11
Concorde,Miss Monique,"['melodic techno', 'melodic house', 'progressive house', 'techno']",29TpNOsTNYbLb6Xa10H0PR,1QWj9NYh8ZcSugtyBhSIea,57,Concorde,2023-01-19
Ingern,Yotto,"['melodic house', 'melodic techno', 'progressive house', 'deep house']",5Dyfxq0ZrFjjeFBdSNxDbo,23WSd4TMp2ar1GRxa0WZQG,0,Odd Ones V2,2022-12-08
Pantheon,Argy,"['melodic techno', 'melodic house', 'techno']",1NaQOKgddaJipUtmptb7GI,2fY9O2PpELY5hubBbC2zEG,26,Pantheon,2023-01-13
Tribute To Orange Clouds,Ida Engberg,['techno'],5psccYjSTbvey4GWul62EB,5joBjODoRwhq4Y9HbnFuhw,0,Tribute To Orange Clouds,2023-01-27
Rush - Miss Monique Remix,Sied Van Riel,"['trance', 'progressive trance', 'melodic techno']",1Cv0KzvQ0KP210KdmQQQUF,0vlauZfceQ2eiuqwDMf1jb,32,Rush (Miss Monique Remix),2022-04-08
Excommunication - Original Mix,Erkka,['progressive house'],0ZPcdLXxkMbeJUYygnUyY7,4ZaQk7PJO0IdqpDJk8krfD,19,Excommunication / Air Conditioner,2013-07-01
Mcassey,Jey Kurmis,['tech house'],5tBoZLvUWhT8UP3QSyw8HF,30K3cajnMqH5Q1xZgWekes,0,Demello EP,2017-08-04
Careless,Matt Fax,"['progressive house', 'progressive trance', 'trance', 'melodic house']",1XgI1X3xjXCKRP1ZjhqgkV,3YMDVPa0ZObKcQBBGyY5Rh,18,Careless / Huntdown,2016-05-20
Skin Deep - Global Communication Remix,Dusky,"['deep house', 'house']",5gqoUf9vKKv96b1c0GBKwu,3nsH8TL1UoYWbBgeA47Rls,11,Anjunadeep 07,2015-09-11
luxuria (ov) - Tinlicker Remix,deadmau5,"['edm', 'progressive house', 'dubstep']",2CIMQHirSU0MQqyYHq0eOx,1UnYcIamObP0LV4n1WbNgu,38,here's the drop!,2019-10-04
Hundred,2pole,"['techno', 'acid techno']",4FPQ76NAjtR1rWJqq4WTLi,5pDlc5Kyr5f8dKEzxBIJ1P,0,2wo,2019-07-29
Falling,Joseph Ashworth,['melodic techno'],7CpmbhzkL9uT1D9nhckTxB,7td77R6MNM1GL3nh7QQ0KH,0,Falling EP,2017-09-15
Stuck,Matt Fax,"['progressive house', 'progressive trance', 'trance', 'melodic house']",1XgI1X3xjXCKRP1ZjhqgkV,4ELAizRil7NxbPCROyw8oW,8,Enhanced Deep House Essentials,2016-03-25
Whiterock,Danny Howells,['progressive house'],404Jr6ogdJwSHAfdwD1AN2,5CnppVNwpJFQ2ipau6OCQY,13,Whiterock EP,2018-05-28
Fire Walk,Yotto,"['melodic house', 'melodic techno', 'progressive house', 'deep house']",5Dyfxq0ZrFjjeFBdSNxDbo,1ouUKlviYOWl5yOi3dUcAJ,22,Fire Walk,2016-11-25
Seia,Kosinski,[],6HBMXDH0zEKPuyBu4deZdo,0yxm0snDlf0krDiqveXPfv,0,Esperanto,2018-10-01
Love,Ben Lukas Boysen,"['neoclassical', 'ambient']",0lYoJnsYMVaAitj1pZVqER,4Tni0eZOEBwZ7Dd1Q4izKL,29,Mirage,2020-05-01
Cornetto,Spada,"['melodic house', 'melodic techno', 'tropical house']",2hPCF7VDHhihvNdobslOHw,6DMDPxVQAihKhNgVWsDmTA,46,Be Strong,2022-02-04
Train of Thought,Miss Monique,"['melodic techno', 'melodic house', 'progressive house', 'techno']",29TpNOsTNYbLb6Xa10H0PR,0tPbbpM6Sw9q1Ru8zhvYIl,35,Train of Thought,2021-07-02
Tribute,Nox Vahn,"['melodic house', 'progressive house', 'organic house', 'melodic techno']",2bqGPuC8kDCTLWieGOyWxu,2zMZbTBd5wSqTE0XFL70tp,9,The Anjunadeep Edition 360 with James Grant,2021-07-29
Sierra,Argy,"['melodic techno', 'melodic house', 'techno']",1NaQOKgddaJipUtmptb7GI,5c4gtyaea8i7H1BqRyb2Xp,66,Sierra,2024-04-18
Biosphère,Miss Monique,"['melodic techno', 'melodic house', 'progressive house', 'techno']",29TpNOsTNYbLb6Xa10H0PR,4yxlVbgJ5OdE9ipFOSMNGP,43,Biosphère,2022-10-27
Elamy,Miss Monique,"['melodic techno', 'melodic house', 'progressive house', 'techno']",29TpNOsTNYbLb6Xa10H0PR,6jdaBz780wecXanS9elu68,36,Elamy,2022-02-11
Masonic & Webster - Album Edit,Spencer Brown,"['progressive house', 'progressive trance', 'trance', 'melodic house']",4L9PX6lwPWo2NeuXL9kyJK,1h2vmAx4kUKOjMjP1xRHia,14,Equanimity,2023-09-29
Room 1.5,Joseph Ray,"['melodic house', 'afro house', 'organic house']",4O2IFXgH0FqMSHU4pzpqQX,7KNAX5vcVQpGalIP1TiQuP,30,Room 1.5 / Chem-EX,2019-08-20
Moan - Edit,Habischman,"['melodic techno', 'melodic house']",4X5dfqYyOaZ3ahnJWIkY38,7u0PSQmoGVnEGtzO9kK9WR,25,Moan (Edit),2017-01-20
Cybernova,Massano,"['melodic techno', 'melodic house', 'techno']",6htWLP8aiuf19FYMA4VQAZ,13dzpIlhBBeZrR0LOFpfUw,41,Shut Down,2023-12-08
Sogni D'oro,Durante,['melodic house'],1BqIPGrEhdjdLFpUzce2dh,7vGlHIN3gFi2UYnZTGEyER,31,Enter (Deluxe),2024-11-27
Nomacita,Miss Monique,"['melodic techno', 'melodic house', 'progressive house', 'techno']",29TpNOsTNYbLb6Xa10H0PR,4NjCBS4wF0lFO5wbYBQuIt,54,Nomacita,2025-01-10
Lift Me Up,Lucas & Steve,['future house'],5wwneIFdawNgQ7GvKK29Z3,0LBGk4xW093mDP7u1nVAdt,0,Lift Me Up,2025-01-24
